Time,Title,Location,Description
10:00 AM - 10:30 AM,Event Start,Entry / Stage,Registration Opens /Main Sponsor Area (Ballroom) Open/High Energy Music from DJ
10:30 AM - 10:45 AM,Welcoming Ceremony,Main Stage,Announcements / Acknowledgements / Purpose
10:30 AM - 2:30 PM,Mural & Crafts,Zone 1 - Art,Open Creation (Mural + Crafts)
10:30 AM - 2:30 PM,Wearable Art & Screen Printing,Zone 1 - Art,Wearable Art / Screen Printing
10:30 AM - 2:30 PM,Fabric Painting & Vision Boards,Zone 1 - Art,Fabric Painting / Vision Boards
10:30 AM - 2:30 PM,Guided Meditation,Zone 2 - Wellness,Guided Meditation / Yoga
10:30 AM - 2:30 PM,Serenity Suite,Zone 2 - Wellness,Serenity Suite Open (limited Space
10:30 AM - 2:30 PM,Open Wellness Experience,Zone 2 - Wellness,Open Wellness Experience
10:30 AM - 2:30 PM,Interactive Art,Zone 3 - Youth,Interactive Art Project
10:30 AM - 2:30 PM,Tree of Life,Zone 3 - Youth,Group Activity: Tree of Life
10:30 AM - 2:30 PM,VR Meditation,Canopy Room ,VR Meditation Begins (Runs every 30 minutes) 
10:30 AM - 2:30 PM,Self Driving Cars,Lot 61B,Every 30 minutes
10:45 AM - 11:45 AM,Movement Impress,Main Stage,Movement Impress (Drumming)
11:00 AM - 12:30 PM,Haking Inovation,Earth Keepers Room/Multipurpose Room  ,HAKing Innovation 
11:45 AM - 1:00 PM,DJ Dabney,Main Stage,Transition to DJ Dabney
12:45 PM - 1:50 PM,Lyric Workshop,Earth Keepers Room ,Lyric Workshop 
1:00 PM - 1:30 PM,Dance Lyfe,Main Stage,Dance Lyfe (Speak + Perform)
2:00 PM - 2:30 PM,Poetrywith Lyric,Main Stage,Poetry w/ Lyric
2:30 PM - 2:45 PM,Final Remarks,Main Stage,DJ Dabney + Final Announcements and thank you from Nikki 
10:00 AM - 3:00 PM,Steam Festival,All,Event Ends
